#At time x process y state arr w total z remain y wait k
At time 1 process 1 started arr 1 total 10 remain 10 wait 0
At time 2 process 1 stopped arr 1 total 10 remain 9 wait 0
At time 2 process 1 resumed arr 1 total 10 remain 9 wait 0
At time 3 process 1 stopped arr 1 total 10 remain 8 wait 0
At time 3 process 2 started arr 3 total 6 remain 6 wait 0
At time 4 process 2 stopped arr 3 total 6 remain 5 wait 0
At time 4 process 1 resumed arr 1 total 10 remain 8 wait 1
At time 5 process 1 stopped arr 1 total 10 remain 7 wait 1
At time 5 process 3 started arr 4 total 2 remain 2 wait 1
At time 6 process 3 stopped arr 4 total 2 remain 1 wait 1
At time 6 process 2 resumed arr 3 total 6 remain 5 wait 2
At time 7 process 2 stopped arr 3 total 6 remain 4 wait 2
At time 7 process 1 resumed arr 1 total 10 remain 7 wait 3
At time 8 process 1 stopped arr 1 total 10 remain 6 wait 3
At time 8 process 3 resumed arr 4 total 2 remain 1 wait 3
At time 9 process 3 finished arr 4 total 2 remain 0 wait 3 TA 5 WTA 2.50
At time 9 process 4 started arr 7 total 4 remain 4 wait 2
At time 10 process 4 stopped arr 7 total 4 remain 3 wait 2
At time 10 process 2 resumed arr 3 total 6 remain 4 wait 5
At time 11 process 2 stopped arr 3 total 6 remain 3 wait 5
At time 11 process 1 resumed arr 1 total 10 remain 6 wait 6
At time 12 process 1 stopped arr 1 total 10 remain 5 wait 6
At time 12 process 4 resumed arr 7 total 4 remain 3 wait 4
At time 13 process 4 stopped arr 7 total 4 remain 2 wait 4
At time 13 process 5 started arr 11 total 8 remain 8 wait 2
At time 14 process 5 stopped arr 11 total 8 remain 7 wait 2
At time 14 process 2 resumed arr 3 total 6 remain 3 wait 8
At time 15 process 2 stopped arr 3 total 6 remain 2 wait 8
At time 15 process 1 resumed arr 1 total 10 remain 5 wait 9
At time 16 process 1 stopped arr 1 total 10 remain 4 wait 9
At time 16 process 4 resumed arr 7 total 4 remain 2 wait 7
At time 17 process 4 stopped arr 7 total 4 remain 1 wait 7
At time 17 process 5 resumed arr 11 total 8 remain 7 wait 5
At time 18 process 5 stopped arr 11 total 8 remain 6 wait 5
At time 18 process 2 resumed arr 3 total 6 remain 2 wait 11
At time 19 process 2 stopped arr 3 total 6 remain 1 wait 11
At time 19 process 1 resumed arr 1 total 10 remain 4 wait 12
At time 20 process 1 stopped arr 1 total 10 remain 3 wait 12
At time 20 process 4 resumed arr 7 total 4 remain 1 wait 10
At time 21 process 4 finished arr 7 total 4 remain 0 wait 10 TA 14 WTA 3.50
At time 21 process 5 resumed arr 11 total 8 remain 6 wait 8
At time 22 process 5 stopped arr 11 total 8 remain 5 wait 8
At time 22 process 2 resumed arr 3 total 6 remain 1 wait 14
At time 23 process 2 finished arr 3 total 6 remain 0 wait 14 TA 20 WTA 3.33
At time 23 process 1 resumed arr 1 total 10 remain 3 wait 15
At time 24 process 1 stopped arr 1 total 10 remain 2 wait 15
At time 24 process 5 resumed arr 11 total 8 remain 5 wait 10
At time 25 process 5 stopped arr 11 total 8 remain 4 wait 10
At time 25 process 1 resumed arr 1 total 10 remain 2 wait 16
At time 26 process 1 stopped arr 1 total 10 remain 1 wait 16
At time 26 process 5 resumed arr 11 total 8 remain 4 wait 11
At time 27 process 5 stopped arr 11 total 8 remain 3 wait 11
At time 27 process 1 resumed arr 1 total 10 remain 1 wait 17
At time 28 process 1 finished arr 1 total 10 remain 0 wait 17 TA 27 WTA 2.70
At time 28 process 5 resumed arr 11 total 8 remain 3 wait 12
At time 29 process 5 stopped arr 11 total 8 remain 2 wait 12
At time 29 process 5 resumed arr 11 total 8 remain 2 wait 12
At time 30 process 5 stopped arr 11 total 8 remain 1 wait 12
At time 30 process 5 resumed arr 11 total 8 remain 1 wait 12
At time 31 process 5 finished arr 11 total 8 remain 0 wait 12 TA 20 WTA 2.50
